Date,Time,ZCM,HPIM,PIM,LIFE,Event,Light,Temp,SleSco
04/22/2018,20:09:00,182,65962,3664.556,10000,0,0.8571429,61.46045,0
04/22/2018,20:10:00,200,18708,1039.333,10000,0,1.727273,61.46045,0
04/22/2018,20:11:00,172,40580,2254.444,10000,0,1.109091,61.46045,0
04/22/2018,20:12:00,160,34190,1899.444,10000,0,1,61.46045,0
04/22/2018,20:13:00,199,36089,2004.944,10000,0,1,61.46045,0
04/22/2018,20:14:00,158,46667,2592.611,10000,0,1.909091,61.46045,0
04/22/2018,20:15:00,110,2647,147.0556,10000,0,1.327273,61.46045,0
04/22/2018,20:16:00,180,3948,219.3333,10000,0,1.509091,61.46045,0
04/22/2018,20:17:00,160,3723,206.8333,10000,0,1.872727,61.46045,0
04/22/2018,20:18:00,159,34107,1894.833,10000,0,2.309091,62.15386,0
04/22/2018,20:19:00,160,18674,1037.444,10000,0,9.04878,61.46045,0
04/22/2018,20:20:00,187,42748,2374.889,10000,0,7.97561,62.15386,0
04/22/2018,20:21:00,204,21367,1187.056,10000,0,0.2857143,61.46045,0
04/22/2018,20:22:00,187,17300,961.1111,10000,0,0,61.46045,0
04/22/2018,20:23:00,178,95544,5308,10000,0,0.5714286,62.15386,0
04/22/2018,20:24:00,144,15976,887.5555,10000,0,0.7142857,62.15386,0
04/22/2018,20:25:00,157,21284,1182.444,10000,0,1.145455,62.15386,0
04/22/2018,20:26:00,171,28934,1607.444,10000,0,1.181818,62.50057,0
04/22/2018,20:27:00,130,8086,449.2222,10000,0,1.181818,62.15386,0
04/22/2018,20:28:00,134,31663,1759.056,10000,0,0,62.15386,0
04/22/2018,20:29:00,154,13557,753.1667,10000,0,1.945455,62.84722,0
04/22/2018,20:30:00,140,20199,1122.167,10000,0,3.292683,62.84722,0
04/22/2018,20:31:00,193,44656,2480.889,10000,0,52.77885,62.15386,0
04/22/2018,20:32:00,154,40190,2232.778,10000,0,1.218182,62.84722,0
04/22/2018,20:33:00,139,15149,841.6111,10000,0,3.585366,62.84722,0
04/22/2018,20:34:00,58,1045,58.05556,10000,0,2.418182,62.84722,0
04/22/2018,20:35:00,58,383,21.27778,10000,0,2.018182,62.50057,0
04/22/2018,20:36:00,152,52135,2896.389,10000,0,1.145455,62.84722,0
04/22/2018,20:37:00,156,57873,3215.167,10000,0,134.7986,62.15386,0
04/22/2018,20:38:00,139,31201,1733.389,10000,0,1.290909,62.84722,0
04/22/2018,20:39:00,238,29752,1652.889,10000,0,2.490909,61.46045,0
04/22/2018,20:40:00,198,25965,1442.5,10000,0,2.490909,62.15386,0
04/22/2018,20:41:00,185,65962,3664.556,10000,0,0.7142857,62.15386,0
04/22/2018,20:42:00,183,26321,1462.278,10000,0,2.636364,62.15386,0
04/22/2018,20:43:00,180,33182,1843.444,10000,0,1.436364,62.15386,0
04/22/2018,20:44:00,170,21440,1191.111,10000,0,2.490909,62.15386,0
04/22/2018,20:45:00,146,38656,2147.556,10000,0,2.163636,62.84722,0
04/22/2018,20:46:00,53,11288,627.1111,10000,0,1.436364,62.84722,0
04/22/2018,20:47:00,45,1713,95.16666,10000,0,1.218182,62.15386,0
04/22/2018,20:48:00,84,1080,60,10000,0,9.243902,62.84722,0
04/22/2018,20:49:00,97,1804,100.2222,10000,0,1.690909,62.15386,0
04/22/2018,20:50:00,43,630,35,10000,0,5.926829,62.84722,0
04/22/2018,20:51:00,56,1340,74.44444,10000,0,6.609756,62.84722,0
04/22/2018,20:52:00,46,1011,56.16667,10000,0,6.804878,62.15386,0
04/22/2018,20:53:00,61,10928,607.1111,10000,0,2.018182,62.50057,0
04/22/2018,20:54:00,50,422,23.44444,10000,0,0,62.15386,0
04/22/2018,20:55:00,178,64308,3572.667,10000,0,3.390244,62.15386,0
04/22/2018,20:56:00,176,12225,679.1667,10000,0,35.30435,62.15386,0
04/22/2018,20:57:00,32,364,20.22222,10000,0,74.71681,62.15386,0
04/22/2018,20:58:00,99,7612,422.8889,10000,0,63.5,61.46045,0
04/22/2018,20:59:00,186,26452,1469.556,10000,0,20.5,62.15386,0
04/22/2018,21:00:00,78,3466,192.5556,10000,0,0.1428571,62.84722,0
04/22/2018,21:01:00,107,10114,561.8889,10000,0,1,62.15386,0
04/22/2018,21:02:00,150,33296,1849.778,10000,0,2.127273,61.46045,0
04/22/2018,21:03:00,208,35208,1956,10000,0,7.097561,61.46045,0
04/22/2018,21:04:00,198,14370,798.3333,10000,0,1.654545,61.46045,0
04/22/2018,21:05:00,238,94677,5259.833,10000,0,1.509091,61.46045,0
04/22/2018,21:06:00,192,34860,1936.667,10000,0,2.018182,61.46045,0
04/22/2018,21:07:00,267,150666,8370.333,10000,0,0.4285714,61.46045,0
04/22/2018,21:08:00,320,454955,25275.28,10000,0,0,61.46045,0
04/22/2018,21:09:00,294,334263,18570.17,10000,0,0,61.46045,0
04/22/2018,21:10:00,272,86885,4826.944,10000,0,0,60.76709,0
04/22/2018,21:11:00,279,92652,5147.333,10000,0,0,60.76709,0
04/22/2018,21:12:00,299,53097,2949.833,10000,0,0,60.76709,0
04/22/2018,21:13:00,269,55827,3101.5,10000,0,0,60.07368,0
04/22/2018,21:14:00,261,67931,3773.944,10000,0,0,60.76709,0
04/22/2018,21:15:00,134,11376,632,10000,0,0,60.07368,0
04/22/2018,21:16:00,268,46407,2578.167,10000,0,0,60.07368,0
04/22/2018,21:17:00,288,66808,3711.556,10000,0,0.2857143,60.07368,0
04/22/2018,21:18:00,276,50478,2804.333,10000,0,0.1428571,60.76709,0
